algo,dataset,seed,best_score_train,final_score_ckpt,final_step_ckpt,best_ckpt_score,best_ckpt_step,total_time_h
CQL,halfcheetah-medium-v2,0,49.30,48.6,800000,49.24,420000,24.50
CQL,halfcheetah-medium-v2,1,49.34,48.29,790000,48.83,535000,24.05
CQL,halfcheetah-medium-v2,2,49.48,48.64,560000,48.98,425000,29.91
CQL,hopper-medium-v2,0,68.81,54.93,760000,68.11,350000,25.45
CQL,hopper-medium-v2,1,69.20,55.51,895000,69.2,390000,22.89
CQL,hopper-medium-v2,2,70.40,59.36,885000,63.95,205000,22.71
CQL,walker2d-medium-v2,0,85.01,82.87,560000,84.69,240000,29.88
CQL,walker2d-medium-v2,1,85.21,83.49,680000,83.92,250000,26.73
CQL,walker2d-medium-v2,2,84.98,83.69,800000,84.39,770000,24.49
DT,halfcheetah-medium-v2,0,44.54,42.12,245000,42.12,245000,9.64
DT,halfcheetah-medium-v2,1,45.27,43.34,245000,43.34,245000,9.24
DT,halfcheetah-medium-v2,2,45.79,42.07,220000,42.24,170000,10.99
DT,hopper-medium-v2,0,99.63,49.73,1000000,49.73,1000000,10.08
DT,hopper-medium-v2,1,79.82,52.25,1000000,52.25,1000000,9.93
DT,hopper-medium-v2,2,97.51,55.01,625000,55.93,560000,9.98
DT,walker2d-medium-v2,0,87.35,69.41,385000,73.44,125000,11.13
DT,walker2d-medium-v2,1,85.14,77.31,1000000,77.31,1000000,10.19
DT,walker2d-medium-v2,2,84.62,67.01,1000000,78.39,780000,10.19
IQL,halfcheetah-medium-v2,0,48.71,47.36,345000,47.36,345000,8.88
IQL,halfcheetah-medium-v2,1,48.58,47.99,335000,47.99,335000,10.89
IQL,halfcheetah-medium-v2,2,48.61,48.05,670000,48.05,670000,9.29
IQL,hopper-medium-v2,0,72.89,52.01,800000,57.32,710000,7.83
IQL,hopper-medium-v2,1,68.03,57.14,340000,57.14,340000,7.45
IQL,hopper-medium-v2,2,62.58,44.42,135000,51.38,75000,8.35
IQL,walker2d-medium-v2,0,88.18,77.22,605000,86.75,285000,8.92
IQL,walker2d-medium-v2,1,87.19,80.78,595000,85.91,155000,8.61
IQL,walker2d-medium-v2,2,87.98,82.1,220000,82.1,220000,8.21
UA_CQL,halfcheetah-medium-v2,0,44.97,42.38,1000000,42.78,405000,18.07
UA_CQL,halfcheetah-medium-v2,1,45.83,42.61,1000000,43.05,525000,15.60
UA_CQL,halfcheetah-medium-v2,2,46.23,42.94,1000000,43.11,955000,18.05
UA_CQL,hopper-medium-v2,0,66.01,40.41,1000000,49.49,185000,14.34
UA_CQL,hopper-medium-v2,1,54.85,43.89,1000000,48.28,620000,14.40
UA_CQL,hopper-medium-v2,2,67.85,41.13,1000000,52.2,695000,19.55
UA_CQL,walker2d-medium-v2,0,80.95,20.28,1000000,59.24,430000,17.18
UA_CQL,walker2d-medium-v2,1,80.83,46.25,1000000,54.26,840000,14.61
UA_CQL,walker2d-medium-v2,2,78.03,33.12,1000000,63.68,180000,14.53
UGH_CQL,halfcheetah-medium-v2,0,44.99,42.23,1000000,43.09,440000,18.47
UGH_CQL,halfcheetah-medium-v2,1,44.69,42.17,795000,43.08,625000,24.34
UGH_CQL,halfcheetah-medium-v2,2,44.45,42.5,950000,42.69,760000,21.11
UGH_CQL,hopper-medium-v2,0,56.34,30.83,1000000,51.32,550000,17.47
UGH_CQL,hopper-medium-v2,1,54.90,47.83,865000,49.72,250000,22.96
UGH_CQL,hopper-medium-v2,2,60.83,32.5,1000000,46.34,490000,19.90
UGH_CQL,walker2d-medium-v2,0,79.48,16.36,1000000,70.94,145000,17.39
UGH_CQL,walker2d-medium-v2,1,77.68,26.53,1000000,61.13,215000,17.79
UGH_CQL,walker2d-medium-v2,2,79.40,44.94,840000,58.1,580000,23.45
