Env,Rep,Method,Best Step,Best 10-ep,Best 50-ep,Final 50-ep,Gap
halfcheetah,A,ensemble_mean,100000,49.0390030280427,48.938439088982484,48.938439088982484,0.0
halfcheetah,A,iad_lambda_1.0,100000,48.833893849281324,48.85452552454071,48.85452552454071,0.0
halfcheetah,A,shuffled_iad_lambda_1.0,100000,49.422146755748834,49.29406726470829,49.29406726470829,0.0
halfcheetah,A,standard_iql,80000,47.026030757987016,47.12950220195093,46.67846407377458,0.45103812817635003
halfcheetah,B,ensemble_mean,40000,48.85010842666547,48.740505915175966,48.36850485095537,0.37200106422059775
halfcheetah,B,iad_lambda_1.0,100000,49.14537084914652,48.924047613335794,48.924047613335794,0.0
halfcheetah,B,shuffled_iad_lambda_1.0,75000,49.07435345269154,48.856495128496945,48.66607118091751,0.1904239475794327
halfcheetah,B,standard_iql,75000,47.19829327650223,46.96805816766531,46.71812338650805,0.24993478115726475
hopper,A,ensemble_mean,55000,76.47243672917148,71.7151189066104,59.23470038708528,12.480418519525116
hopper,A,iad_lambda_1.0,55000,67.37104086743614,63.68138058309758,55.84366305417107,7.837717528926511
hopper,A,shuffled_iad_lambda_1.0,55000,64.87195397718111,68.9145234984491,49.879985987789375,19.034537510659725
hopper,A,standard_iql,70000,60.37076614936859,52.90354966036702,34.96718569463235,17.93636396573467
hopper,B,ensemble_mean,85000,70.02775631878211,63.44980930737891,33.075497404267004,30.374311903111902
hopper,B,iad_lambda_1.0,50000,54.932561555422446,61.58349216567526,34.97961047671417,26.60388168896109
hopper,B,shuffled_iad_lambda_1.0,75000,32.95556639487565,33.63316282150563,25.05773611745485,8.575426704050777
hopper,B,standard_iql,75000,37.605909905847426,39.787112129703544,23.403320666690412,16.383791463013132
walker2d,A,ensemble_mean,60000,89.5091603707792,89.68984534590618,84.21149054245414,5.478354803452035
walker2d,A,iad_lambda_1.0,20000,87.78042347127071,85.56840409771739,66.69534012311755,18.873063974599845
walker2d,A,shuffled_iad_lambda_1.0,95000,89.34491930680122,87.09702206324822,86.18600120945257,0.9110208537956481
walker2d,A,standard_iql,100000,86.59427472811392,80.85123901757387,80.85123901757387,0.0
walker2d,B,ensemble_mean,95000,87.05539251947299,83.87082264894897,83.71202287402555,0.15879977492342334
walker2d,B,iad_lambda_1.0,100000,90.54141206568777,89.50857364640133,89.50857364640133,0.0
walker2d,B,shuffled_iad_lambda_1.0,100000,89.58194620855696,86.95070199007824,86.95070199007824,0.0
walker2d,B,standard_iql,100000,86.9257749732714,82.59353334463113,82.59353334463113,0.0
